leaid,leaname,fips,stateabb,gsmean_pool,gsgrdslope_pool,gscohslope_pool,gsmathslope_pool,gsmeanse_pool,gsgrdslopese_pool,gscohslopese_pool,gsmathslopese_pool
101110,DALLAS COUNTY,AL,AL,-1.984385798,0.862268506,0.187535808,-0.478820816,0.051392904,0.044380997,0.033957716,0.099530249
101140,DEKALB COUNTY,AL,AL,-1.272194079,0.901862127,0.068244976,-0.611904543,0.047615067,0.041401347,0.031765551,0.092640455
101170,DECATUR CITY,AL,AL,-0.50930705,1.017663033,0.100882018,-0.203271211,0.048893568,0.042329173,0.032569437,0.094984027
101200,DEMOPOLIS CITY,AL,AL,-0.698187751,1.285907451,0.272094554,-0.523087032,0.057397977,0.048039415,0.037628999,0.110020136
101230,DOTHAN CITY,AL,AL,-0.353444281,0.984153823,0.136895566,-0.452670312,0.048625292,0.042005579,0.03233295,0.094478193
101260,ELBA CITY,AL,AL,-1.73714902,0.836783321,0.068705067,-0.479744114,0.070393215,0.057162449,0.044115765,0.132721726
101290,ELMORE COUNTY,AL,AL,-0.674322146,0.87484066,0.030137677,-0.896273083,0.047482772,0.041471549,0.031701454,0.092398614
101320,ENTERPRISE CITY,AL,AL,0.401354666,1.08596714,0.185373121,-0.675446539,0.053205831,0.044812347,0.035357459,0.102531815
101350,ESCAMBIA COUNTY,AL,AL,-0.811374096,0.802663817,0.001659914,-0.208382258,0.050875362,0.043990471,0.033686736,0.098598192
101380,ETOWAH COUNTY,AL,AL,-0.317658031,0.792584692,0.00558799,-0.985624118,0.04842426,0.042207854,0.032271772,0.094145102
101410,EUFAULA CITY,AL,AL,-1.537583283,0.950022936,0.074958811,-0.654505808,0.053357484,0.045433289,0.035300859,0.10311745
101440,FAIRFIELD CITY,AL,AL,-2.149363049,0.637872549,-0.004409317,-0.346098854,0.056294914,0.048486329,0.036888162,0.108415745
101470,FAYETTE COUNTY,AL,AL,-0.535221187,0.897067726,0.066992133,-0.635508226,0.05711623,0.048662168,0.037100887,0.109863643
101530,FLORENCE CITY,AL,AL,-0.381824362,0.914049342,0.031369878,-0.58082354,0.052997861,0.044700807,0.034911655,0.10242519
101560,FORT PAYNE CITY,AL,AL,-0.936077411,1.094911336,0.013443973,-0.611403339,0.053443677,0.045528902,0.035121231,0.103150091
101590,FRANKLIN COUNTY,AL,AL,-0.291202262,0.656885171,-0.076572284,-0.345445135,0.056498548,0.047999775,0.036961727,0.108586048
101620,GADSDEN CITY,AL,AL,-1.397206442,0.808641319,0.062668753,-0.857384296,0.049782798,0.04299469,0.03302121,0.096647248
101640,GENEVA CITY,AL,AL,-0.397950596,1.016602671,0.14930981,-0.487229613,0.072462233,0.057710658,0.045651187,0.135901928
101660,GENEVA COUNTY,AL,AL,-1.293523862,0.990569358,0.072399291,-0.568145633,0.054026509,0.046388921,0.035356735,0.104416124
101680,GREENE COUNTY,AL,AL,-2.257977163,0.747021782,0.10373667,-0.906300457,0.060182731,0.050420387,0.03890209,0.115278534
101690,GUNTERSVILLE CITY,AL,AL,0.756687529,1.068096911,-0.01200757,-0.374196294,0.071556893,0.058102081,0.043537669,0.134282306
101710,HALE COUNTY,AL,AL,-1.19576794,0.924029094,0.196887903,-0.167520514,0.054129817,0.045838031,0.035526973,0.104243051
101720,HALEYVILLE CITY,AL,AL,-0.564966673,0.737777474,0.022768569,-0.872663723,0.062204498,0.051911694,0.040138821,0.11871986
101730,HARTSELLE CITY,AL,AL,0.53348196,1.09801499,0.043202296,-0.933361929,0.061071251,0.050272341,0.039217097,0.117208811
101740,HENRY COUNTY,AL,AL,-1.47245641,0.8839582,0.128886217,-0.713774245,0.053258461,0.045502756,0.035279576,0.103010211
101760,HOMEWOOD CITY,AL,AL,1.308263631,1.022755469,0.027030009,-0.649821614,0.068383881,0.055347783,0.043081832,0.129848601
101770,HOUSTON COUNTY,AL,AL,-0.374942203,1.011590971,0.193934259,-0.595949553,0.050154129,0.042999324,0.033125405,0.097241714
101800,HUNTSVILLE CITY,AL,AL,-0.524099567,0.974645743,0.024388257,-0.745966104,0.046398526,0.040457862,0.031016875,0.090394588
101830,JACKSON COUNTY,AL,AL,-0.259163455,0.890630984,0.071935716,-0.526135376,0.051314967,0.043705039,0.033786548,0.099281907
101860,JACKSONVILLE CITY,AL,AL,-0.366936295,1.009002025,-0.0267432,-1.335685467,0.063725738,0.05190596,0.040293258,0.121625001
101890,JASPER CITY,AL,AL,0.228929788,0.879677656,0.087369736,-0.860170338,0.063894469,0.052212626,0.041281441,0.120701147
101920,JEFFERSON COUNTY,AL,AL,-0.841744764,0.902783876,0.085189767,-0.654718514,0.04543395,0.039717024,0.03043663,0.088602008
101950,LAMAR COUNTY,AL,AL,-1.105411753,0.757298711,0.060298879,-0.66858595,0.056224823,0.047513165,0.036566394,0.108390903
101980,LANETT CITY,AL,AL,-2.380728551,1.026978798,0.160254529,-0.836900326,0.064524884,0.053539494,0.040759224,0.12292598
102010,LAUDERDALE COUNTY,AL,AL,-0.12685441,0.894459622,-0.026957361,-0.770138827,0.048991303,0.042389994,0.032591211,0.095172456
102040,LAWRENCE COUNTY,AL,AL,-0.674083235,0.746289592,-0.064231069,-0.902832445,0.051069794,0.043946596,0.033853329,0.098965324
102070,LEE COUNTY,AL,AL,-0.829115755,1.025751171,0.203271197,-0.893511903,0.047680505,0.04133664,0.031757039,0.092759993
102100,LIMESTONE COUNTY,AL,AL,-1.042972598,0.798741042,-0.015123283,-1.139679346,0.047810718,0.041597333,0.031884434,0.093014071
102130,LINDEN CITY,AL,AL,-2.751497206,0.970497469,0.058502935,-0.772741827,0.077833654,0.065404652,0.047674379,0.145690645
102160,LOWNDES COUNTY,AL,AL,-2.442579397,0.853657986,0.042676074,-0.305585506,0.05550263,0.047126133,0.03634885,0.107012824
102190,MACON COUNTY,AL,AL,-2.164021247,0.632517365,0.069419643,-1.03683169,0.054754083,0.047166443,0.035799551,0.105697299
102220,MADISON COUNTY,AL,AL,0.277472796,0.997936851,0.103209423,-0.936964097,0.047205856,0.040940911,0.031518928,0.091872172
102250,MARENGO COUNTY,AL,AL,-1.540601273,0.924257579,0.229176716,-0.476899666,0.064007521,0.053966798,0.041430949,0.121409888
102310,MARION COUNTY,AL,AL,-0.332082169,0.92943288,0.175263807,-0.500190331,0.054379845,0.046010679,0.035749667,0.104619374
102350,MIDFIELD CITY,AL,AL,-2.262728802,1.103369534,0.05766375,-0.469024514,0.058566915,0.049681285,0.03789487,0.112571068
102370,MOBILE COUNTY,AL,AL,-0.617407407,0.751975711,0.018102427,-0.546659489,0.045124213,0.039487874,0.030247979,0.088027653
102400,MONROE COUNTY,AL,AL,-1.450968925,0.898290097,0.072935802,-0.531603193,0.051193269,0.044121731,0.033899925,0.09925368
102430,MONTGOMERY COUNTY,AL,AL,-1.61122848,0.56754184,-0.084575059,-0.721580917,0.045531766,0.039862013,0.030499668,0.088785951
102480,MORGAN COUNTY,AL,AL,-0.566893815,0.940714651,0.109666615,-1.05414574,0.048688123,0.042080932,0.032353201,0.094598861
102490,MOUNTAIN BROOK CITY,AL,AL,3.011941695,0.978849642,-0.176899651,-0.752649256,0.100628865,0.072992723,0.055795143,0.183387422
102520,MUSCLE SHOALS CITY,AL,AL,0.927573706,1.163396472,0.080752291,-0.811004986,0.065935241,0.05210373,0.040716776,0.125497274
102550,ONEONTA CITY,AL,AL,0.129586885,0.856675589,0.004475718,-1.026497304,0.070747604,0.056692718,0.043340089,0.132986042
102580,OPELIKA CITY,AL,AL,-1.086799203,0.907751698,0.075240211,-0.73257881,0.051272494,0.044258982,0.034081604,0.099386789
102610,OPP CITY,AL,AL,-0.796007536,0.980189648,0.280772107,-0.563990967,0.069865009,0.057387438,0.04298245,0.129015736
102635,OXFORD CITY,AL,AL,-0.074659358,0.985542225,-0.009355835,-0.350215673,0.053280073,0.045664137,0.035021561,0.102951236
102640,OZARK CITY,AL,AL,-0.70854508,0.943479713,0.03485631,-0.153425528,0.057124751,0.049246537,0.037514997,0.109932425
102650,PELL CITY,AL,AL,-0.558748857,0.972937499,0.156165616,-1.059348605,0.053208371,0.045464235,0.035147834,0.102801721
102670,PERRY COUNTY,AL,AL,-1.743156253,0.655198354,0.092324579,-0.392135091,0.059204766,0.04903437,0.037854838,0.113609882
102700,PHENIX CITY,AL,AL,-1.281572182,0.859914063,0.061505271,-0.665192963,0.048418566,0.042042679,0.03220109,0.09414065
102730,PICKENS COUNTY,AL,AL,-1.386315327,0.851904102,0.001888508,-0.661116532,0.052519465,0.045039575,0.034670386,0.101563142
102760,PIEDMONT CITY,AL,AL,-0.338520329,1.110204497,-0.011752175,-0.649106272,0.072025885,0.060381972,0.04382124,0.135663401
102790,PIKE COUNTY,AL,AL,-0.747961731,0.86722945,0.148008766,-0.583580635,0.057332522,0.048518209,0.037312156,0.110193457
102820,RANDOLPH COUNTY,AL,AL,-1.678968815,0.882318851,0.051498495,-0.967105182,0.054763385,0.04651469,0.035988228,0.105735509
102850,ROANOKE CITY,AL,AL,-1.264374442,0.933944584,0.122733495,-0.654440595,0.060705452,0.051130245,0.039247054,0.116050763
102880,RUSSELL COUNTY,AL,AL,-1.502923928,0.871581659,0.237187855,-0.827031151,0.052365782,0.044754736,0.034606667,0.101346265
102910,RUSSELLVILLE CITY,AL,AL,-0.460053235,0.70399697,-0.074963001,-0.61349498,0.056693408,0.048778489,0.037187866,0.109059329
102940,SCOTTSBORO CITY,AL,AL,-0.554287591,0.991920793,-0.011344075,-1.059501226,0.056654067,0.049010265,0.036983116,0.109282306
102970,SELMA CITY,AL,AL,-1.752082651,0.605078371,0.095024429,-0.321891213,0.051807126,0.044588778,0.034124606,0.100270458
103000,SHEFFIELD CITY,AL,AL,-1.511231753,0.850438244,0.098484594,-0.140134521,0.065740523,0.054243964,0.041909287,0.1250344
103030,SHELBY COUNTY,AL,AL,-0.026417664,0.998656163,0.044577556,-0.821752644,0.046060181,0.040118474,0.030799894,0.089762501
103062,ST CLAIR COUNTY,AL,AL,-0.594790722,0.954945254,0.02705142,-0.983888052,0.048317197,0.041933761,0.032130604,0.093948827
103090,SUMTER COUNTY,AL,AL,-2.658397883,0.863442759,0.137111605,-0.467545541,0.055017981,0.047521291,0.036027541,0.106154178
103120,SYLACAUGA CITY,AL,AL,-0.539943903,0.983586503,0.037418347,-0.668637277,0.0565857,0.047660061,0.03674217,0.108876457
103150,TALLADEGA CITY,AL,AL,-1.715599524,0.707674733,-0.003852656,-0.685543793,0.05447754,0.047061786,0.03554186,0.105135488
103180,TALLADEGA COUNTY,AL,AL,-0.824599472,0.843824463,-0.006075287,-0.236768896,0.048351299,0.041904057,0.032197957,0.093975384
103210,TALLAPOOSA COUNTY,AL,AL,-1.532321907,0.960486162,0.042737892,-0.5024888,0.052498725,0.045256432,0.03464679,0.101683152
103240,TALLASSEE CITY,AL,AL,-1.146303203,0.92788741,0.022636947,-1.011671585,0.059105719,0.050736617,0.038282855,0.113453196
103270,TARRANT CITY,AL,AL,-2.344132574,0.675075256,0.093543774,-0.701930359,0.060365388,0.052099485,0.039978984,0.115549179
103300,THOMASVILLE CITY,AL,AL,-1.115313747,0.700262613,-0.048525569,-0.94870794,0.061909939,0.05127122,0.039891689,0.118452609
103330,TROY CITY,AL,AL,-0.684197722,1.042456964,0.020555169,-0.035393368,0.05730395,0.047767846,0.036844316,0.110138364
103360,TUSCALOOSA CITY,AL,AL,-1.330310816,0.997379242,0.197918849,-0.598508187,0.047640943,0.041420412,0.031820538,0.092696581
103390,TUSCALOOSA COUNTY,AL,AL,-0.89102396,0.88405652,0.071882156,-0.880992602,0.046344149,0.040362169,0.030961303,0.09029485
103420,TUSCUMBIA CITY,AL,AL,-0.886286162,0.80472136,-0.011278027,-1.143721763,0.060321793,0.050251813,0.038643531,0.115637842
103430,VESTAVIA HILLS CITY,AL,AL,2.101461571,0.942982551,0.056324291,-1.357636747,0.068790835,0.053981305,0.042177286,0.129182513
103450,WALKER COUNTY,AL,AL,-0.740419773,1.021715376,0.095268637,-0.666666683,0.048572906,0.042067225,0.032329914,0.094373759
103480,WASHINGTON COUNTY,AL,AL,-1.338569132,0.716683454,-0.037884181,-0.89838682,0.052197315,0.045171572,0.03448437,0.101071075
103510,WILCOX COUNTY,AL,AL,-2.217458756,0.665374058,-0.009977028,-0.617617708,0.055952777,0.048470885,0.036313128,0.107748411
103540,WINFIELD CITY,AL,AL,0.613617531,0.854157713,-0.008157751,-0.858775763,0.087534416,0.06280602,0.049646345,0.151069733
103580,WINSTON COUNTY,AL,AL,-0.86011103,0.776114858,0.073994399,-1.113702036,0.056097056,0.047353519,0.03665593,0.108043904
200001,LOWER KUSKOKWIM SCHOOL DISTRICT,AK,AK,-3.604117014,1.121548905,-0.137247328,1.23298225,0.050591814,0.04381772,0.033515997,0.098252808
200003,LOWER YUKON SCHOOL DISTRICT,AK,AK,-3.754068076,0.897318704,-0.121802157,1.46426083,0.054188412,0.047125978,0.035842385,0.104882832
200004,YUPIIT SCHOOL DISTRICT,AK,AK,-4.762999805,0.937888243,-0.073474355,0.788759763,0.086932105,0.069655504,0.052916509,0.160506206
200005,KASHUNAMIUT SCHOOL DISTRICT,AK,AK,-3.113172098,1.061154681,-0.095272322,1.42297434,0.115547542,0.084782105,0.062286151,0.201727238
200007,ALEUTIANS EAST BOROUGH SCHOOL DISTRICT,AK,AK,-0.737070136,0.921430498,0.104316771,0.502940196,0.152305642,0.095937727,0.069806866,0.2405899
200020,BERING STRAIT SCHOOL DISTRICT,AK,AK,-2.675424298,0.931131046,-0.055912628,1.116422003,0.057197142,0.048886364,0.037179018,0.110040177
200030,BRISTOL BAY BOROUGH SCHOOL DISTRICT,AK,AK,-0.234649702,1.010035099,0.057913226,0.266088759,0.422822349,0.136154802,0.098045242,0.353855512
200050,ALASKA GATEWAY SCHOOL DISTRICT,AK,AK,-1.570666827,1.137309892,-0.078126785,0.485956688,0.093090075,0.075119015,0.05409715,0.169606536
200060,CORDOVA CITY SCHOOL DISTRICT,AK,AK,-0.090501957,0.683713767,-0.080403891,0.032780383,0.098617359,0.076793937,0.057249625,0.177330026
200070,COPPER RIVER SCHOOL DISTRICT,AK,AK,0.425113669,1.097366314,-0.049549259,0.546053591,0.081307167,0.064683696,0.049136724,0.151523226
200090,CRAIG CITY SCHOOL DISTRICT,AK,AK,0.03691867,1.033513853,0.053790056,-0.440866033,0.073735791,0.059858099,0.044913198,0.139601944
200100,DELTA/GREELY SCHOOL DISTRICT,AK,AK,-0.28284508,0.946009941,0.000215808,0.080413594,0.069868359,0.058320753,0.043873582,0.132318394
200120,DILLINGHAM CITY SCHOOL DISTRICT,AK,AK,-1.476982486,0.913285004,0.068729812,0.372187533,0.080675877,0.063831128,0.049043094,0.150556429
200150,KETCHIKAN GATEWAY BOROUGH SCHOOL DISTRICT,AK,AK,-0.157316521,1.063426733,0.047276166,0.239682064,0.056301796,0.048051728,0.036682007,0.108580772
200180,ANCHORAGE SCHOOL DISTRICT,AK,AK,-0.174800227,1.036033837,0.028113725,0.417689631,0.0441635,0.038856073,0.029757558,0.08625221
200210,JUNEAU BOROUGH SCHOOL DISTRICT,AK,AK,-0.06440112,1.217407813,0.033314456,0.118144339,0.05027554,0.043840143,0.033366821,0.097641731
200240,SITKA SCHOOL DISTRICT,AK,AK,0.033735657,0.976315823,0.032624561,-0.179450343,0.064842918,0.053545108,0.04150542,0.123638783
200270,HAINES BOROUGH SCHOOL DISTRICT,AK,AK,0.359251703,1.171232472,0.077639378,0.098137776,0.105708235,0.083496124,0.05971671,0.188312681
200390,KENAI PENINSULA BOROUGH SCHOOL DISTRICT,AK,AK,0.446181736,1.05278257,0.02919157,0.189346789,0.047165986,0.041171294,0.03149606,0.091848359
200480,KODIAK ISLAND BOROUGH SCHOOL DISTRICT,AK,AK,-0.007221599,1.014443238,-0.059011662,0.400414704,0.054500824,0.046764635,0.035549681,0.105358528
200485,LAKE AND PENINSULA BOROUGH SCHOOL DISTRICT,AK,AK,-0.999378668,0.971664992,0.021233601,0.780076426,0.111986427,0.082820965,0.05926326,0.19368206
200510,MATANUSKA-SUSITNA BOROUGH SCHOOL DISTRICT,AK,AK,0.223648497,1.062303247,-0.004139602,0.217333938,0.045420385,0.039828773,0.030482104,0.08859833
200520,IDITAROD AREA SCHOOL DISTRICT,AK,AK,-2.20415589,0.939826723,0.0440069,0.220648542,0.261554754,0.12202858,0.095024821,0.320618751
200525,ANNETTE ISLAND SCHOOL DISTRICT,AK,AK,-0.8527352,1.007889497,-0.152286204,0.165978899,0.119346331,0.083820488,0.065191941,0.205980801
200570,NOME PUBLIC SCHOOLS,AK,AK,-1.219575699,1.104247541,0.01190527,0.525876654,0.079575072,0.066139476,0.048742732,0.14859398
200600,FAIRBANKS NORTH STAR BOROUGH SCHOOL DISTRICT,AK,AK,0.026563779,0.99311977,0.0142339,0.490520185,0.04582973,0.04018482,0.030752536,0.089363048
200610,NORTH SLOPE BOROUGH SCHOOL DISTRICT,AK,AK,-2.186683295,1.051923033,-0.069411044,1.094129026,0.058599755,0.0499003,0.037840425,0.11256915
200625,NORTHWEST ARCTIC BOROUGH SCHOOL DISTRICT,AK,AK,-2.72047303,0.995619076,-0.129494411,1.320723291,0.057203143,0.04848882,0.037404635,0.110225671
200660,PETERSBURG CITY SCHOOL DISTRICT,AK,AK,0.52150393,1.082297163,0.027224855,-0.013917283,0.082975432,0.066028266,0.049755491,0.154253561
200710,SOUTHWEST REGION SCHOOL DISTRICT,AK,AK,-3.25572546,1.038205001,-0.069368236,1.175247068,0.07149423,0.059208194,0.044845281,0.135121136
200720,UNALASKA CITY SCHOOL DISTRICT,AK,AK,0.827368557,1.349493899,0.161183684,0.590827809,0.088730131,0.06908543,0.052215807,0.163453955
200760,KUSPUK SCHOOL DISTRICT,AK,AK,-2.949534872,1.097106432,0.04890289,1.138036337,0.093566961,0.069269252,0.057266313,0.17070834
200770,DENALI BOROUGH SCHOOL DISTRICT,AK,AK,0.038628479,1.191185267,0.123491751,0.254767704,0.080701214,0.065986083,0.050018198,0.149659628
200775,YUKON FLATS SCHOOL DISTRICT,AK,AK,-3.112029318,0.891809644,-0.167586828,0.672499442,0.124185763,0.085735797,0.069832782,0.209854298
200780,VALDEZ CITY SCHOOL DISTRICT,AK,AK,0.642892825,1.035257944,0.009652844,-0.114435583,0.076402218,0.061251903,0.046533403,0.143578664
200800,CHUGACH SCHOOL DISTRICT,AK,AK,-0.978182675,1.155397066,0.041455283,-0.320974609,0.171714178,0.098870818,0.078452593,0.258643174
200810,WRANGELL PUBLIC SCHOOL DISTRICT,AK,AK,0.795067557,1.011433734,0.08187012,0.177023459,0.110883057,0.085509519,0.06058388,0.194464058
200862,YUKON/KOYUKUK SCHOOL DISTRICT,AK,AK,-1.100744713,1.066542904,-0.002427176,0.004702077,0.065160033,0.054210137,0.041385553,0.124443636
400001,CAVE CREEK UNIFIED DISTRICT,AZ,AZ,1.206085366,1.048869769,0.161524653,-0.055838976,0.049491548,0.043011429,0.032991728,0.096125452
400003,CHINO VALLEY UNIFIED DISTRICT,AZ,AZ,-0.489848951,1.035997742,0.100228828,0.037943116,0.05407195,0.046213855,0.0355596,0.10446498
400004,CLARKDALE-JEROME ELEMENTARY DISTRICT,AZ,AZ,0.365844282,0.973241006,-0.059771229,0.071643618,0.07836406,0.062756277,0.047797557,0.14611759
400005,SALOME CONSOLIDATED ELEMENTARY DISTRICT,AZ,AZ,-0.705610788,0.941207586,0.051579855,-0.191218928,0.551313005,0.139164552,0.098276243,0.378217866
400021,COLORADO CITY UNIFIED DISTRICT,AZ,AZ,0.187159774,1.111973722,0.094801342,0.198416359,0.068660989,0.056578149,0.044986443,0.128118642
400023,PINON UNIFIED DISTRICT,AZ,AZ,-2.775329475,1.044633101,0.210907903,0.381459041,0.058671379,0.050131396,0.038021441,0.113131835
400026,HEBER-OVERGAARD UNIFIED DISTRICT,AZ,AZ,-0.079800308,1.290625101,0.249823162,0.383561105,0.082584415,0.06425427,0.049675001,0.153158105
400212,BENSON UNIFIED SCHOOL DISTRICT,AZ,AZ,-0.183476526,1.146936129,0.240378086,0.140621417,0.065390528,0.054248233,0.042119239,0.124495812
400295,KINGMAN UNIFIED SCHOOL DISTRICT,AZ,AZ,-0.824211951,0.921865036,0.156944185,-0.000113369,0.048082358,0.041734056,0.032147396,0.093522833
400463,ARIZONA STATE SCHOOL FOR THE DEAF AND BLIND,AZ,AZ,-5.217883857,1.076961449,0.068718339,1.198951748,0.096602003,0.074786142,0.055419936,0.175559563
400480,AGUILA ELEMENTARY DISTRICT,AZ,AZ,-1.227800074,1.07933014,0.221823381,0.560372423,0.202788807,0.104888916,0.082728825,0.287700291
400520,AJO UNIFIED DISTRICT,AZ,AZ,-2.307812056,1.21201669,0.155896771,0.137866229,0.085059018,0.066558687,0.050594794,0.156762897
400600,ALHAMBRA ELEMENTARY DISTRICT,AZ,AZ,-1.166378504,0.952268834,0.058229537,0.408562225,0.046129543,0.040225913,0.030957929,0.089900726
400680,AMPHITHEATER UNIFIED DISTRICT,AZ,AZ,0.193468726,1.076678613,0.095445699,0.011114581,0.046496448,0.040485048,0.031210734,0.090584509
