LEAID,NAME_LEA15,CBSA,NAME_CBSA15,COUNT,LANDAREA,leaname,fips,stateabb,gsmean_pool,gsgrdslope_pool,gscohslope_pool,gsmathslope_pool,gsmeanse_pool,gsgrdslopese_pool,gscohslopese_pool,gsmathslopese_pool,median_sale_price,median_sale_price_per_sqft,total_sales,district_name,percent_under_30,total_population,percent_drive_alone,mean_commute_time,pop_density
2502400,Bedford School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,13.65847795433801,BEDFORD,MA,MA,2.493798092,1.012860525,-0.014832082,0.152613744,0.052919941,0.04559721,0.035372238,0.102312878,615e3,283.7837837837838,531,"Bedford School District, Massachusetts",0.5546835865753882,13921.0,0.7872050816696915,26.975288028051427,1019.2204465636386
2502460,Bellingham School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,18.348833662549794,BELLINGHAM,MA,MA,1.20388259,0.884236481,0.003648374,-0.117831619,0.052039501,0.04514037,0.034806554,0.100708061,265e3,160.15384615384616,786,"Bellingham School District, Massachusetts",0.5022584554368184,16682.0,0.8481320774685152,32.45069957034262,909.1586041268757
2502490,Belmont School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,4.650962861603992,BELMONT,MA,MA,3.15380134,1.17997643,0.058527288,-0.207691776,0.050169701,0.043280991,0.033514268,0.097187749,765e3,391.20502569960024,724,"Belmont School District, Massachusetts",0.5138530373429703,25337.0,0.6366695359574301,28.46024780588539,5447.6891675849565
2502640,Beverly School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,15.093264138675538,BEVERLY,MA,MA,1.304831053,1.095195336,0.100336511,-0.020384568,0.049219687,0.04274211,0.032966577,0.095519013,351500.0,222.99721004384216,1518,"Beverly School District, Massachusetts",0.6276344248277249,40670.0,0.7438509200150206,27.109803329812383,2694.57949097874
2502670,Billerica School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,25.56606864587791,BILLERICA,MA,MA,1.133655911,0.979444734,-0.010103909,0.03396431,0.047120096,0.041131708,0.031663133,0.091708477,35e4,195.53072625698323,1439,"Billerica School District, Massachusetts",0.5390418884517473,41956.0,0.863125866929169,28.74959500115714,1641.0814107222811
2502790,Boston School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,48.36530941456087,BOSTON,MA,MA,-0.246801099,1.047946996,0.081363488,0.510465802,0.044555643,0.039055048,0.030116472,0.086963686,495e3,441.6666666666667,17877,"Boston School District, Massachusetts",0.4887070876978362,650281.0,0.3862353669684192,30.052878660448048,13445.194662689913
2502850,Boxborough School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,10.285806729606474,BOXBOROUGH,MA,MA,3.314807928,1.230164886,0.049412733,-0.067550549,0.103350155,0.076794814,0.049434561,0.148024939,NA,NA,NA,"Boxborough School District, Massachusetts",0.4697142857142857,5137.0,0.7892679459843639,31.14666666666667,499.4260669135222
2502880,Boxford School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,23.557620730289106,BOXFORD,MA,MA,2.484851497,1.124622704,0.081094662,-0.086820548,0.085852039,0.066431549,0.042026946,0.125629567,577500.0,202.36336779911375,346,"Boxford School District, Massachusetts",0.41623676350800975,8138.0,0.7665198237885462,36.25441216399674,345.45084553197694
2502940,Braintree School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,13.750884560082904,BRAINTREE,MA,MA,2.251548443,1.194233363,0.119100076,0.0634825,0.04748779,0.041316905,0.031809848,0.092362626,363e3,248.55334538878841,1309,"Braintree School District, Massachusetts",0.47429291821968866,36905.0,0.7429622520793346,32.86368121026091,2683.827344978998
2503090,Brockton School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,21.32818607653782,BROCKTON,MA,MA,-0.425996079,0.935644626,-0.048082215,0.237326818,0.045567295,0.039822248,0.030727915,0.088845595,215e3,137.5,2985,"Brockton School District, Massachusetts",0.5410140047821207,94532.0,0.7780961249194184,29.752842434001856,4432.256904584606
2503150,Brookline School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,6.75037027198582,BROOKLINE,MA,MA,2.952672479,1.192276963,0.008800502,0.415310005,0.049249678,0.042653696,0.032857877,0.095529607,775e3,531.25,2073,"Brookline School District, Massachusetts",0.49583849222726645,59132.0,0.3717517382806242,28.854553583711652,8759.815775647012
2503240,Burlington School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,11.734625411391871,BURLINGTON,MA,MA,1.586512072,1.027731024,-0.043478132,-0.004045586,0.049179488,0.042848986,0.032899335,0.095500222,460500.0,252.29357798165137,661,"Burlington School District, Massachusetts",0.5791184398287617,25467.0,0.8174084763785509,28.499286507055654,2170.243966652473
2503270,Cambridge School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,6.389797945009788,CAMBRIDGE,MA,MA,0.978848057,1.10150534,0.125981125,0.132858364,0.048159515,0.041907147,0.03234029,0.093589738,65e4,573.7704918032787,2491,"Cambridge School District, Massachusetts",0.60075140226479,107916.0,0.2835140785261645,25.07805058736374,16888.796942989204
2503300,Canton School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,18.796572802653905,CANTON,MA,MA,2.307027937,1.028741724,0.070055853,-0.164025072,0.051043768,0.044044469,0.033989597,0.098806645,395e3,233.92857142857142,998,"Canton School District, Massachusetts",0.3605769230769231,22276.0,0.730817837154721,35.30495852187028,1185.1096598234562
2503330,Carlisle School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,15.264973814550482,CARLISLE,MA,MA,3.522829671,1.485925583,0.198105784,-0.134544413,0.0669618,0.056124008,0.04221639,0.124897916,776e3,256.8833380641499,225,"Carlisle School District, Massachusetts",0.4243018128368447,5074.0,0.7524671052631579,35.04899559039686,332.39493638459396
2503360,Carver School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,37.4103883878999,CARVER,MA,MA,0.806985937,0.991151054,0.035279646,0.510405594,0.052946045,0.04552088,0.034995867,0.102305986,283e3,177.57009345794393,404,"Carver School District, Massachusetts",0.5186891054030115,11562.0,0.8813299232736573,32.428697962798935,309.05853957238355
2503510,Chelmsford School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,22.370123336478812,CHELMSFORD,MA,MA,2.453673116,1.079509234,0.016755468,-0.412663531,0.048507123,0.042183135,0.032525353,0.094223736,314900.0,197.2972972972973,1412,"Chelmsford School District, Massachusetts",0.5551641125007339,34757.0,0.856528297670261,29.641829604838236,1553.724111271304
2503540,Chelsea School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,2.206555783270041,CHELSEA,MA,MA,-0.301295602,0.779646246,-0.027529034,0.660348112,0.048268429,0.041947787,0.032437605,0.093772304,285e3,192.1627731725697,733,"Chelsea School District, Massachusetts",0.4920403587443946,37581.0,0.4230726993191302,30.3957399103139,17031.520474096615
2503780,Cohasset School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,9.789222189446438,COHASSET,MA,MA,2.662044351,1.116749108,0.001940986,0.184021103,0.055105785,0.046685959,0.036199189,0.105823273,75e4,290.6542056074766,437,"Cohasset School District, Massachusetts",0.47188195991091314,8281.0,0.7210031347962382,34.97216035634744,845.9303343760629
2503840,Concord School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,24.523667291122578,CONCORD,MA,MA,3.189307794,1.188200402,0.125250357,-0.360016145,0.052652708,0.044861871,0.034854114,0.101790262,8e5,331.26189417518896,725,"Concord School District, Massachusetts",0.4428675932699342,19271.0,0.705392596387857,33.18288222384784,785.8123245284766
2503990,Danvers School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,13.275635640010691,DANVERS,MA,MA,1.440234221,0.909519731,0.019852832,-0.095871386,0.049036886,0.042719666,0.032823439,0.09522456,355e3,211.3943028485757,1068,"Danvers School District, Massachusetts",0.6276355421686747,27400.0,0.855731512421909,26.75828313253012,2063.931305663488
2504050,Dedham School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,10.247067167878768,DEDHAM,MA,MA,1.641198292,1.006452251,0.122209717,0.12936318,0.051248158,0.044115231,0.034078922,0.099262496,389e3,261.2704918032787,940,"Dedham School District, Massachusetts",0.49317020028492414,25224.0,0.7435160801212992,29.62666554931702,2461.582381256274
2504260,Dover School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,15.118515607022113,DOVER,MA,MA,3.038905185,1.258645021,0.151351895,-0.12127752,0.143065493,0.088652292,0.051027048,0.151587036,935e3,273.39548225170313,276,"Dover School District, Massachusetts",0.4004329004329004,5814.0,0.7125382262996942,33.41125541125541,384.56156352410454
2504290,Dover-Sherborn School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,30.935930591184224,DOVER-SHERBORN,MA,MA,2.882128064,1.165441466,0.077373453,0.441024716,0.128616598,0.082714565,0.047145032,0.141502256,817e3,264.0722724113968,491,"Dover-Sherborn School District, Massachusetts",0.3963034085453673,10059.0,0.7464940668824164,33.69779164666347,325.15588856623896
2504320,Dracut School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,20.635431901614993,DRACUT,MA,MA,0.65500017,0.76518333,-0.001936843,-0.054778387,0.048569866,0.04230842,0.032507037,0.094382113,252e3,165.1676206050695,1283,"Dracut School District, Massachusetts",0.487133984028394,30691.0,0.867546401923907,30.059259728736215,1487.2962265256986
2504410,Duxbury School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,23.738085659084135,DUXBURY,MA,MA,2.3497062,1.159446647,0.041674952,0.049321188,0.0491685,0.042605622,0.032941282,0.09545222,547e3,239.65206958608277,775,"Duxbury School District, Massachusetts",0.4913221836541496,15297.0,0.7942243303571429,34.43120858314926,644.4074817021361
2504440,East Bridgewater School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,17.20864768485413,EAST BRIDGEWATER,MA,MA,1.652956628,1.243954095,0.080591357,0.021124607,0.050989896,0.043853064,0.034028579,0.098780577,276502.0,173.9969135802469,528,"East Bridgewater School District, Massachusetts",0.48990378100013554,14113.0,0.8676683801238961,32.12223878574333,820.1109266953785
2504770,Everett School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,3.425178417815062,EVERETT,MA,MA,0.114364313,0.931331341,0.068387703,0.249262254,0.047904527,0.041776092,0.032134949,0.093176826,335e3,200.83102493074793,826,"Everett School District, Massachusetts",0.41334433140867016,43885.0,0.5507803765484549,32.582256438456604,12812.471248722411
2504950,Foxborough School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,19.848032886638872,FOXBOROUGH,MA,MA,1.588737991,1.024248365,0.095806214,0.083437511,0.048459805,0.042121516,0.032539132,0.094178529,360500.0,195.0,571,"Foxborough School District, Massachusetts",0.47616772189702544,17243.0,0.8277777777777777,30.932982917214193,868.7510796904963
2504980,Framingham School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,25.037988592997348,FRAMINGHAM,MA,MA,0.779858556,0.954631666,-0.042468427,0.171198804,0.047103254,0.041077507,0.031628621,0.091692698,34e4,201.5,2337,"Framingham School District, Massachusetts",0.5312724261661607,70443.0,0.7409182912538618,28.5169748826939,2813.4448475506365
2505010,Franklin School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,26.632184396221128,FRANKLIN,MA,MA,2.530963606,1.007826414,0.031378133,0.204347812,0.047404606,0.041265761,0.031855017,0.09223647,350386.0,185.84366062917064,1228,"Franklin School District, Massachusetts",0.419639407598197,32731.0,0.7682780182780182,34.95428203477141,1229.001703842372
2505220,Georgetown School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,12.86000861780054,GEORGETOWN,MA,MA,1.658899692,0.928687164,0.047686194,-0.01136554,0.055265789,0.046845732,0.036487557,0.106616155,372e3,197.7205153617443,318,"Georgetown School District, Massachusetts",0.4904517931998137,8441.0,0.8756851567638676,33.16721006054961,656.3759209551504
2505280,Gloucester School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,26.19332522003962,GLOUCESTER,MA,MA,0.606679184,1.017879171,0.152230658,-0.126941766,0.050549327,0.043559747,0.033714864,0.098027781,337400.0,219.35096153846155,979,"Gloucester School District, Massachusetts",0.6688010598366085,29399.0,0.7554666482720563,26.02156473099286,1122.3851784006342
2505500,Groton-Dunstable School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,49.21168360625614,GROTON-DUNSTABLE,MA,MA,2.456540563,1.050814143,-0.010724119,0.188301361,0.051049011,0.043986182,0.033932992,0.098896107,427500.0,179.21875,592,"Groton-Dunstable School District, Massachusetts",0.45019619680048295,14463.0,0.8251449075351919,33.80697253244793,293.8936232240866
2505610,Halifax School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,15.701561937738715,HALIFAX,MA,MA,1.938515179,1.191881909,0.117232767,0.053920132,0.092458674,0.070002534,0.045296426,0.133963143,245e3,174.52830188679246,310,"Halifax School District, Massachusetts",0.44353182751540043,7684.0,0.8536155202821869,34.546971252566735,489.37806509118695
2505670,Hamilton-Wenham School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,21.844787311755887,HAMILTON-WENHAM,MA,MA,2.200441135,1.034333272,0.116422468,0.083566553,0.05310457,0.045540124,0.035173275,0.102578243,483e3,238.31578947368422,432,"Hamilton-Wenham School District, Massachusetts",0.5954478707782672,13194.0,0.6607958251793868,29.323604992657856,603.988485294136
2505790,Hanover School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,15.609188922883039,HANOVER,MA,MA,1.901963515,0.915588439,-0.012389149,-0.065335421,0.050243855,0.04341561,0.033547544,0.09744962,437500.0,219.74358974358975,496,"Hanover School District, Massachusetts",0.5026841634357292,14226.0,0.8060890596101864,34.97390396659708,911.3862398798129
2505970,Haverhill School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,32.96772649139688,HAVERHILL,MA,MA,0.135725981,0.973107027,0.086615425,0.203166626,0.047102072,0.041040659,0.031630406,0.091679608,239900.0,143.01250679717236,2606,"Haverhill School District, Massachusetts",0.575262661637931,62079.0,0.7822191816523325,29.465921336206897,1883.0233870145664
2506090,Hingham School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,22.227246998827777,HINGHAM,MA,MA,2.752299007,1.147234796,0.118330909,-0.312379104,0.049195894,0.042583708,0.03289147,0.095497702,655e3,320.9700427960057,1015,"Hingham School District, Massachusetts",0.4439292646107397,22733.0,0.7067369887551,33.90338580979081,1022.7537400920094
2506150,Holbrook School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,7.251108113242223,HOLBROOK,MA,MA,1.046855523,1.002954187,0.177761309,0.009518548,0.057660794,0.049354328,0.037824026,0.110972225,257e3,182.3793490460157,422,"Holbrook School District, Massachusetts",0.4405722670579604,10975.0,0.7962000358487185,33.16947909024211,1513.5617658157762
2506240,Holliston School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,18.645332333586108,HOLLISTON,MA,MA,2.485840968,1.225169929,0.136066338,-0.170463904,0.051917143,0.04464875,0.034372593,0.100368235,425e3,206.34920634920636,629,"Holliston School District, Massachusetts",0.42413162705667273,14197.0,0.8286767834349738,33.7591407678245,761.4238108497931
2506330,Hopkinton School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,26.261433257605834,HOPKINTON,MA,MA,2.765127731,1.174866184,0.173536786,-0.233290697,0.050308664,0.043903266,0.033563435,0.097533689,516720.0,209.72354623450906,886,"Hopkinton School District, Massachusetts",0.3947630567809876,15925.0,0.7963059994760283,37.90878041838622,606.402546418056
2506390,Hudson School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,11.521826355952216,HUDSON,MA,MA,1.136228792,1.025658824,0.017315381,-0.121280797,0.051468838,0.044315169,0.034222953,0.099577719,305e3,182.18085106382978,826,"Hudson School District, Massachusetts",0.5998111822091682,19602.0,0.8571711568938193,27.924053288576523,1701.292780712108
2506420,Hull School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,2.8090377252713137,HULL,MA,MA,1.016983325,0.861663385,0.11779917,0.229991586,0.060173103,0.051421893,0.039479491,0.115148217,335e3,218.9922480620155,540,"Hull School District, Massachusetts",0.4150466562986003,10403.0,0.7193980546889337,36.66893468118196,3703.4034489498413
2506480,Ipswich School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,32.109070389515324,IPSWICH,MA,MA,1.994318999,1.100059362,-0.014885716,0.255138967,0.053569662999999997,0.046035607,0.035364952,0.10348756,39e4,209.72222222222223,582,"Ipswich School District, Massachusetts",0.55634872417983,13616.0,0.7696833847015971,29.74179829890644,424.0546311314598
2506510,King Philip School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,47.607890461268504,KING PHILIP,MA,MA,2.065719714,1.020069334,0.16430471,0.160428233,0.198026106,0.099760285,0.050724676,0.154019367,4e5,196.8670618120237,1315,"King Philip School District, Massachusetts",0.47566006600660066,31682.0,0.7829062036020915,33.9126100110011,665.477921685586
2506540,Kingston School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,18.656987213840374,KINGSTON,MA,MA,1.795259942,0.998852359,0.032239487,-0.529552144,0.083891004,0.065654945,0.04125279,0.122214732,356e3,189.71135940409684,576,"Kingston School District, Massachusetts",0.5197028423772609,12958.0,0.8419212646298829,31.643249354005167,694.538719005356
2506660,Lawrence School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,6.925743285297066,LAWRENCE,MA,MA,-0.691163919,0.827607014,0.114019595,0.263086309,0.046112331,0.04028309,0.031083517,0.089849853,22e4,104.80530240265121,1373,"Lawrence School District, Massachusetts",0.6984473405250359,78804.0,0.63965438835834465,22.92401945501029,11378.41770244302
2506840,Lexington School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,16.433825948228343,LEXINGTON,MA,MA,3.84618909,1.307492557,0.091930393,0.210820955,0.050078072,0.043217233,0.033497103,0.097004444,908e3,350.33557046979865,1277,"Lexington School District, Massachusetts",0.4769812439765735,32700.0,0.7220868859114901,31.57387500926681,1989.7983648491324
2506900,Lincoln School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,14.228898743932403,LINCOLN,MA,MA,2.00545174,1.136510573,0.112636507,0.085205772,0.058378368,0.04932888,0.037727904,0.1117205,86e4,299.6005326231691,217,"Lincoln School District, Massachusetts",0.5135699373695198,7270.0,0.7083333333333334,28.408141962421713,510.9320215733582
2506960,Littleton School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,16.522790453083168,LITTLETON,MA,MA,2.126453716,1.064308495,0.094814653,-0.225824537,0.055216979,0.047271519,0.036576752,0.106340155,439e3,210.64814814814815,388,"Littleton School District, Massachusetts",0.47486157253599115,9359.0,0.8299418604651163,31.140642303433,566.4297460271671
2507020,Lowell School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,13.582977604529441,LOWELL,MA,MA,-0.285330787,1.0222651,0.116440094,0.632159642,0.045851588,0.040113858,0.030916576,0.089370363,207600.0,137.30355665839537,2791,"Lowell School District, Massachusetts",0.6371431453646726,109349.0,0.7398112985945269,25.408554423484315,8050.443958881003
2507110,Lynn School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,10.741317334288805,LYNN,MA,MA,-0.254068928,0.834907641,0.045740114,0.325935417,0.045809511,0.040096701,0.030874238,0.089283743,25e4,165.77361018084395,2626,"Lynn School District, Massachusetts",0.5194147712133323,91626.0,0.6368569917446594,30.24743841290604,8530.238624224266
2507140,Lynnfield School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,9.88256277635263,LYNNFIELD,MA,MA,2.774463956,0.93041084,0.134969654,-0.561821331,0.053124585,0.045587911,0.035242104,0.102681952,556874.0,238.55421686746988,508,"Lynnfield School District, Massachusetts",0.5268780735967441,12270.0,0.8246245306633292,32.749703238935055,1241.5807799734011
2507170,Malden School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,5.043744218119926,MALDEN,MA,MA,0.672233984,1.16170838,0.082888011,0.372183217,0.047023489,0.040987034,0.031634435,0.091527614,335e3,220.6035379812695,1582,"Malden School District, Massachusetts",0.36848809484926676,60612.0,0.5060842132371878,34.77790116601888,12017.262846567059
2507260,Marblehead School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,4.386372446513263,MARBLEHEAD,MA,MA,2.333544451,1.150266247,0.035923456,-0.133934399,0.050003582,0.043254179,0.033425187,0.097019703,539e3,280.0134138162307,898,"Marblehead School District, Massachusetts",0.5460246360582307,20270.0,0.7215457381503472,30.685330347144458,4621.130614686554
2507290,Marion School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,13.997645162834736,MARION,MA,MA,2.008890961,1.04269742,0.186006436,0.20979053,0.098178667,0.073542836,0.047616325,0.143223846,44e4,211.84981054081985,234,"Marion School District, Massachusetts",0.6244389027431422,4979.0,0.8476011288805269,26.748129675810475,355.7026872791278
2507320,Marlborough School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,20.86570864420994,MARLBOROUGH,MA,MA,1.268949545,1.02712389,-0.096167983,0.258789719,0.04849742,0.042187957,0.032582477,0.094267765,283e3,167.33266733266734,1300,"Marlborough School District, Massachusetts",0.5724401642826795,39425.0,0.7746998246166299,28.405325024784023,1889.4637451453207
2507350,Marshfield School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,28.62078472950451,MARSHFIELD,MA,MA,2.18733146,1.021770565,0.058782927,-0.523275094,0.048302428,0.042006334,0.032380839,0.093862512,38e4,215.65183450429353,992,"Marshfield School District, Massachusetts",0.473503204627169,25505.0,0.8321058169246957,35.86290448647804,891.135593976481
2507410,Masconomet School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,48.9336564493735,MASCONOMET,MA,MA,1.99407184,1.194014928,-0.022169106,0.906826119,0.198490459,0.100352964,0.051096321,0.155515723,491e3,217.66666666666666,670,"Masconomet School District, Massachusetts",0.4901201084850833,23953.0,0.8253897550111359,32.06073227431228,489.49949253805806
2507470,Mattapoisett School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,17.35609083903092,MATTAPOISETT,MA,MA,2.229973862,1.257405696,0.19480342,-0.511758831,0.098866987,0.073317536,0.046461677,0.140533365,402412.0,222.94293628808865,267,"Mattapoisett School District, Massachusetts",0.6508771929824562,6176.0,0.8849819257311863,25.90877192982456,355.8404975682207
2507500,Maynard School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,5.213234578693028,MAYNARD,MA,MA,0.879413768,0.792384839,-0.0514223,-0.129894654,0.05786576,0.049993578,0.037744608,0.111081276,308250.0,189.02439024390245,515,"Maynard School District, Massachusetts",0.458817223512596,10459.0,0.8240208877284595,29.365731641951044,2006.2400496511132
2507530,Medfield School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,14.40218873600959,MEDFIELD,MA,MA,2.624523223,1.24722198,0.007700346,-0.391308829,0.051203915,0.043922982,0.034154374,0.099025073,62e4,255.30035335689047,518,"Medfield School District, Massachusetts",0.39643247178740443,12368.0,0.7566236413043478,35.007280669821625,858.7583614340829
2507560,Medford School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,8.101146800680157,MEDFORD,MA,MA,0.589002427,0.936402486,-0.010111121,-0.002990614,0.048819628,0.042344118,0.032768596,0.094843588,435e3,281.42589118198873,1769,"Medford School District, Massachusetts",0.4886796830974243,57136.0,0.6292881442151782,30.112705936950974,7052.828618684329
2507590,Medway School District,14460,"Boston-Cambridge-Newton, MA-NH",1.0,11.542749232814979,MEDWAY,MA,MA,2.28266532,1.168956588,0.180497666,0.163433155,0.051194443,0.04403978,0.034191559,0.099178781,35e4,189.25,527,"Medway School District, Massachusetts",0.4079759001577966,13069.0,0.8430785966820777,36.50839190933869,1132.2259313098505
